,src_port,dst_port,pct,airline,src_lat,src_lon,dst_lat,dst_lon,src_loc,dst_loc
77,KORD,KEWR,0.0136986301369863,American Airlines,41.9745194444444,-87.9065972222222,40.6924777777778,-74.1686861111111,POINT (-87.9065972222222 41.9745194444444),POINT (-74.1686861111111 40.6924777777778)
78,KORD,KEWR,0.058823529411764705,United Airlines,41.9745194444444,-87.9065972222222,40.6924777777778,-74.1686861111111,POINT (-87.9065972222222 41.9745194444444),POINT (-74.1686861111111 40.6924777777778)
79,KORD,KTPA,0.0136986301369863,American Airlines,41.9745194444444,-87.9065972222222,27.9754722222222,-82.53325,POINT (-87.9065972222222 41.9745194444444),POINT (-82.53325 27.9754722222222)
80,KORD,KOMA,0.029411764705882353,United Airlines,41.9745194444444,-87.9065972222222,41.3031666666667,-95.8940555555556,POINT (-87.9065972222222 41.9745194444444),POINT (-95.8940555555556 41.3031666666667)
81,KORD,KSNA,0.0410958904109589,American Airlines,41.9745194444444,-87.9065972222222,33.6756666666667,-117.868222222222,POINT (-87.9065972222222 41.9745194444444),POINT (-117.868222222222 33.6756666666667)
82,KORD,KSNA,0.029411764705882353,United Airlines,41.9745194444444,-87.9065972222222,33.6756666666667,-117.868222222222,POINT (-87.9065972222222 41.9745194444444),POINT (-117.868222222222 33.6756666666667)
83,KORD,KPHL,0.0410958904109589,American Airlines,41.9745194444444,-87.9065972222222,39.8720833333333,-75.2406611111111,POINT (-87.9065972222222 41.9745194444444),POINT (-75.2406611111111 39.8720833333333)
84,KORD,KSEA,0.029411764705882353,United Airlines,41.9745194444444,-87.9065972222222,47.4498888888889,-122.311777777778,POINT (-87.9065972222222 41.9745194444444),POINT (-122.311777777778 47.4498888888889)
86,KORD,KDTW,0.022222222222222223,Delta Air Lines,41.9745194444444,-87.9065972222222,42.2124444444445,-83.3533888888889,POINT (-87.9065972222222 41.9745194444444),POINT (-83.3533888888889 42.2124444444445)
87,KORD,KLGA,0.0684931506849315,American Airlines,41.9745194444444,-87.9065972222222,40.77725,-73.8726111111111,POINT (-87.9065972222222 41.9745194444444),POINT (-73.8726111111111 40.77725)
88,KORD,KSTL,0.0136986301369863,American Airlines,41.9745194444444,-87.9065972222222,38.7486972222222,-90.3700277777778,POINT (-87.9065972222222 41.9745194444444),POINT (-90.3700277777778 38.7486972222222)
89,KORD,KIAD,0.029411764705882353,United Airlines,41.9745194444444,-87.9065972222222,38.9474444444444,-77.4599444444444,POINT (-87.9065972222222 41.9745194444444),POINT (-77.4599444444444 38.9474444444444)
91,KORD,KSAN,0.029411764705882353,United Airlines,41.9745194444444,-87.9065972222222,32.7335555555556,-117.189666666667,POINT (-87.9065972222222 41.9745194444444),POINT (-117.189666666667 32.7335555555556)
92,KORD,KPDX,0.029411764705882353,United Airlines,41.9745194444444,-87.9065972222222,45.5887083333333,-122.596866666667,POINT (-87.9065972222222 41.9745194444444),POINT (-122.596866666667 45.5887083333333)
93,KORD,KAUS,0.0136986301369863,American Airlines,41.9745194444444,-87.9065972222222,30.194525,-97.669875,POINT (-87.9065972222222 41.9745194444444),POINT (-97.669875 30.194525)
94,KORD,KAUS,0.029411764705882353,United Airlines,41.9745194444444,-87.9065972222222,30.194525,-97.669875,POINT (-87.9065972222222 41.9745194444444),POINT (-97.669875 30.194525)
95,KORD,KLNA,0.0136986301369863,American Airlines,41.9745194444444,-87.9065972222222,26.5930555555556,-80.0850638888889,POINT (-87.9065972222222 41.9745194444444),POINT (-80.0850638888889 26.5930555555556)
96,KORD,KSLC,0.0136986301369863,American Airlines,41.9745194444444,-87.9065972222222,40.7883916666667,-111.977772222222,POINT (-87.9065972222222 41.9745194444444),POINT (-111.977772222222 40.7883916666667)
97,KLAX,KIAH,0.058823529411764705,United Airlines,33.9424944444444,-118.408047222222,29.9844333333333,-95.3414416666667,POINT (-118.408047222222 33.9424944444444),POINT (-95.3414416666667 29.9844333333333)
98,KLAX,KJFK,0.022222222222222223,Delta Air Lines,33.9424944444444,-118.408047222222,40.6399277777778,-73.7786916666667,POINT (-118.408047222222 33.9424944444444),POINT (-73.7786916666667 40.6399277777778)
99,KLAX,KORD,0.0547945205479452,American Airlines,33.9424944444444,-118.408047222222,41.9745194444444,-87.9065972222222,POINT (-118.408047222222 33.9424944444444),POINT (-87.9065972222222 41.9745194444444)
100,KLAX,KORD,0.08823529411764706,United Airlines,33.9424944444444,-118.408047222222,41.9745194444444,-87.9065972222222,POINT (-118.408047222222 33.9424944444444),POINT (-87.9065972222222 41.9745194444444)
101,KLAX,KLAX,0.011111111111111112,Delta Air Lines,33.9424944444444,-118.408047222222,33.9424944444444,-118.408047222222,POINT (-118.408047222222 33.9424944444444),POINT (-118.408047222222 33.9424944444444)
102,KLAX,KAUS,0.0136986301369863,American Airlines,33.9424944444444,-118.408047222222,30.194525,-97.669875,POINT (-118.408047222222 33.9424944444444),POINT (-97.669875 30.194525)
103,KLAX,KEWR,0.029411764705882353,United Airlines,33.9424944444444,-118.408047222222,40.6924777777778,-74.1686861111111,POINT (-118.408047222222 33.9424944444444),POINT (-74.1686861111111 40.6924777777778)
104,KJFK,KPHX,0.0273972602739726,American Airlines,40.6399277777778,-73.7786916666667,33.4342777777778,-112.011583333333,POINT (-73.7786916666667 40.6399277777778),POINT (-112.011583333333 33.4342777777778)
105,KJFK,KDFW,0.0136986301369863,American Airlines,40.6399277777778,-73.7786916666667,32.8972305555556,-97.0376944444444,POINT (-73.7786916666667 40.6399277777778),POINT (-97.0376944444444 32.8972305555556)
106,KJFK,KLAX,0.022222222222222223,Delta Air Lines,40.6399277777778,-73.7786916666667,33.9424944444444,-118.408047222222,POINT (-73.7786916666667 40.6399277777778),POINT (-118.408047222222 33.9424944444444)
107,KJFK,MDSD,0.022222222222222223,Delta Air Lines,40.6399277777778,-73.7786916666667,18.4296638888889,-69.668925,POINT (-73.7786916666667 40.6399277777778),POINT (-69.668925 18.4296638888889)
108,KJFK,KCLT,0.0136986301369863,American Airlines,40.6399277777778,-73.7786916666667,35.21375,-80.9490555555556,POINT (-73.7786916666667 40.6399277777778),POINT (-80.9490555555556 35.21375)
109,KJFK,KAUS,0.0136986301369863,American Airlines,40.6399277777778,-73.7786916666667,30.194525,-97.669875,POINT (-73.7786916666667 40.6399277777778),POINT (-97.669875 30.194525)
110,KJFK,MDBG,0.011111111111111112,Delta Air Lines,40.6399277777778,-73.7786916666667,18.5325,-68.6697222,POINT (-73.7786916666667 40.6399277777778),POINT (-68.6697222 18.5325)
111,KJFK,KMIA,0.0136986301369863,American Airlines,40.6399277777778,-73.7786916666667,25.7953611111111,-80.2901138888889,POINT (-73.7786916666667 40.6399277777778),POINT (-80.2901138888889 25.7953611111111)
113,KJFK,KSFO,0.011111111111111112,Delta Air Lines,40.6399277777778,-73.7786916666667,37.6188055555556,-122.375416666667,POINT (-73.7786916666667 40.6399277777778),POINT (-122.375416666667 37.6188055555556)
